YJR045C	0.022894893
YLR259C	0.022887997
YJR091C	0.02288306
YCL018W	0.022879768
YNL189W	0.022879254
YBR160W	0.022869695
YBR072W	0.022860762
YBR196C	0.022846911
YBR127C	0.022845475
YNL064C	0.02284445
YFL039C	0.022843221
YDR388W	0.022840453
YFR053C	0.022840146
YJR121W	0.022839429
YFR028C	0.022839224
YDL126C	0.022836253
YBR020W	0.022834511
YML064C	0.02283062
YBR118W	0.02282008
YBL007C	0.022818545
YBL099W	0.02281742
YER177W	0.022816192
YLR180W	0.022814762
YPL204W	0.022814149
YHR114W	0.022813432
YOR181W	0.022812512
YMR205C	0.02280914
YOL055C	0.02280587
YPR110C	0.022800457
YPL235W	0.022799946
YDL029W	0.022798108
YFL037W	0.022794127
YML085C	0.02279229
YDR394W	0.022792188
YMR106C	0.022791678
YER133W	0.02279127
YJL034W	0.02279076
YLR044C	0.022787292
YMR047C	0.022786476
YGL137W	0.02278515
YLR191W	0.02278515
YKL152C	0.022782296
YER110C	0.022780051
YBR217W	0.022778422
YMR109W	0.022777505
YBR017C	0.0227773
YJL020C	0.022776892
YJL008C	0.02277669
YMR049C	0.022776484
YHR030C	0.022775773
YDR171W	0.022771595
YDR148C	0.022771087
YIL035C	0.02276966
YOL133W	0.022767827
YCL040W	0.022767115
YER125W	0.022767013
YGR240C	0.02276691
YLR175W	0.0227663
YPL140C	0.022766097
YGL190C	0.022765689
YDL047W	0.022764163
YNL094W	0.022762025
YGL206C	0.02276121
YGL237C	0.022756835
YCR088W	0.022756735
YDR099W	0.022756632
YLR288C	0.02275643
YGR092W	0.022756327
YJL138C	0.022751853
YLR291C	0.022750733
YLR295C	0.02274809
YGR040W	0.022747787
YGR254W	0.022746973
YKR026C	0.022746364
YOL139C	0.022744738
YGR262C	0.022744432
YER165W	0.022743823
YLR423C	0.02274362
YLR096W	0.022743315
YER022W	0.022743009
YMR308C	0.022741994
YDR386W	0.02274179
YMR001C	0.022739962
YHL007C	0.022739861
YKL060C	0.022738844
YER118C	0.022737829
YNL030W	0.022737829
YIL061C	0.022737017
YKL103C	0.022736408
YBR055C	0.022733768
YCL027W	0.022733666
YPL240C	0.022733463
YHR082C	0.02273265
YER043C	0.022731941
YHR135C	0.022731941
YDL055C	0.022731839
YJR077C	0.022731839
YPL061W	0.022731332
YBR109C	0.02273113
YMR186W	0.022731027
YGL048C	0.022730926
YKL129C	0.02272849
YJL128C	0.02272778
YJL157C	0.02272778
YJL098W	0.022727577
YER091C	0.022727374
YDL059C	0.022727273
YJL106W	0.022726867
YDL043C	0.022726765
YDL017W	0.022726664
YNL161W	0.022726562
